                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4452,                 1.9962,                 2.6541,                 1.4473,                0.70804,                0.30532,                 0.3493,                0.21106,                0.35078,                0.15199,                0.10199,                0.03186,                 1.4888,                 1.5333,                 2.7972,                 1.6193,             0.00065766,             0.00065766,             0.00065766
                      2,                 1.2307,                 1.4358,                 1.8076,                 1.2581,                0.75258,                0.43225,                0.48546,                0.32057,                0.48289,                 0.2693,                0.21836,                0.07149,                 1.3224,                   1.34,                 1.5578,                 1.4846,              0.0013112,              0.0013112,              0.0013112
                      3,                 1.2003,                 1.3564,                 1.5491,                 1.2586,                0.62524,                0.45283,                0.47524,                0.33189,                0.54239,                0.33791,                0.31565,                 0.1309,                 1.2372,                 1.2587,                 1.6375,                 1.4133,              0.0019516,              0.0019516,              0.0019516
                      4,                 1.1538,                  1.296,                 1.3561,                 1.2226,                0.62979,                0.38079,                0.41487,                0.28327,                0.53757,                0.26719,                0.24017,                0.09301,                  1.324,                 1.2228,                 1.7286,                  1.446,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1168,                 1.2511,                 1.1996,                 1.1979,                0.71572,                0.46208,                0.54811,                0.38466,                0.63989,                0.35965,                0.36914,                0.15765,                  1.102,                 1.1317,                 1.1655,                 1.2718,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0595,                 1.2322,                  1.118,                 1.1617,                0.78268,                0.46998,                0.56844,                0.40065,                 0.6697,                0.39994,                0.41261,                0.18581,                 1.0911,                 1.0945,                 1.1136,                 1.2645,               0.001901,               0.001901,               0.001901
                      7,                 1.0344,                 1.2102,                 1.0328,                 1.1514,                0.71807,                0.53299,                0.57937,                0.41491,                0.69723,                0.39894,                0.40938,                0.18681,                 1.1258,                 1.1078,                  1.101,                 1.3049,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0204,                 1.1872,                 1.0005,                 1.1508,                0.73923,                0.52316,                0.61177,                0.43473,                0.72242,                0.41509,                0.44483,                0.20424,                 1.0434,                 1.0491,                0.95541,                 1.2532,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0038,                  1.158,                0.97193,                 1.1394,                0.80061,                0.53031,                0.61498,                0.44655,                0.69636,                0.42879,                0.45257,                0.21265,                 1.0095,                 1.0569,                0.93457,                 1.1971,              0.0018416,              0.0018416,              0.0018416
                     10,                0.98801,                 1.1481,                0.94881,                 1.1288,                  0.749,                0.50257,                 0.5849,                0.42698,                0.67118,                0.37907,                0.38776,                0.17849,                 1.0647,                 1.0663,                 1.0806,                 1.2486,              0.0018218,              0.0018218,              0.0018218
